,latitude,Longitude,dt,sunrise,sunset,moonrise,moonset,moon_phase,summary,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather,clouds,pop,uvi,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,weather_id,weather_main,weather_description,weather_icon,longitude
0,48.636,-1.5115,1726660800,1726638444,1726683175,1726683900,1726639200,0.5,Expect a day of partly cloudy with clear spells,"{'day': 21.83, 'min': 12.57, 'max': 23.31, 'night': 18.29, 'eve': 20.01, 'morn': 12.68}","{'day': 21.97, 'night': 18.03, 'eve': 19.76, 'morn': 12.46}",1021,73,16.78,7.79,58,13.64,"[{'id': 800, 'main': 'Clear', 'description': 'ciel dégagé', 'icon': '01d'}]",8,0.0,4.25,21.83,12.57,23.31,18.29,20.01,12.68,21.97,18.03,19.76,12.46,800,Clear,ciel dégagé,01d,48.636
1,48.636,-1.5115,1726743600,1726724928,1726769447,1726771320,1726730940,0.55,There will be clear sky today,"{'day': 22.21, 'min': 13.61, 'max': 24.08, 'night': 17, 'eve': 22.06, 'morn': 13.86}","{'day': 21.77, 'night': 16.51, 'eve': 21.65, 'morn': 13.44}",1018,49,10.77,7.74,76,12.82,"[{'id': 800, 'main': 'Clear', 'description': 'ciel dégagé', 'icon': '01d'}]",1,0.0,3.88,22.21,13.61,24.08,17.0,22.06,13.86,21.77,16.51,21.65,13.44,800,Clear,ciel dégagé,01d,48.636
2,48.636,-1.5115,1726830000,1726811411,1726855719,1726858920,1726822620,0.59,Expect a day of partly cloudy with rain,"{'day': 22.16, 'min': 13.46, 'max': 22.52, 'night': 14.02, 'eve': 20.55, 'morn': 13.95}","{'day': 21.74, 'night': 13.64, 'eve': 20.33, 'morn': 13.31}",1016,50,11.14,5.52,109,11.9,"[{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}]",20,0.55,3.79,22.16,13.46,22.52,14.02,20.55,13.95,21.74,13.64,20.33,13.31,500,Rain,légère pluie,10d,48.636
3,48.636,-1.5115,1726916400,1726897895,1726941991,1726946760,1726914360,0.63,Expect a day of partly cloudy with rain,"{'day': 21.22, 'min': 13.67, 'max': 21.41, 'night': 16.7, 'eve': 17.5, 'morn': 13.67}","{'day': 20.94, 'night': 16.78, 'eve': 17.55, 'morn': 13.55}",1014,59,12.79,6.65,149,12.47,"[{'id': 501, 'main': 'Rain', 'description': 'pluie modérée', 'icon': '10d'}]",100,1.0,3.09,21.22,13.67,21.41,16.7,17.5,13.67,20.94,16.78,17.55,13.55,501,Rain,pluie modérée,10d,48.636
4,48.636,-1.5115,1727002800,1726984380,1727028263,1727035020,1727006040,0.67,Expect a day of partly cloudy with rain,"{'day': 19.03, 'min': 13.86, 'max': 20.77, 'night': 14.34, 'eve': 16.08, 'morn': 13.86}","{'day': 19.03, 'night': 14.21, 'eve': 16.04, 'morn': 13.83}",1013,78,14.87,4.81,171,8.47,"[{'id': 501, 'main': 'Rain', 'description': 'pluie modérée', 'icon': '10d'}]",98,1.0,2.95,19.03,13.86,20.77,14.34,16.08,13.86,19.03,14.21,16.04,13.83,501,Rain,pluie modérée,10d,48.636
5,48.636,-1.5115,1727089200,1727070864,1727114535,1727123940,1727097240,0.7,Expect a day of partly cloudy with rain,"{'day': 20.11, 'min': 11.83, 'max': 20.47, 'night': 14.06, 'eve': 16.95, 'morn': 11.83}","{'day': 19.64, 'night': 13.64, 'eve': 16.42, 'morn': 11.6}",1013,56,10.91,6.17,230,10.26,"[{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}]",77,0.2,3.0,20.11,11.83,20.47,14.06,16.95,11.83,19.64,13.64,16.42,11.6,500,Rain,légère pluie,10d,48.636
6,48.636,-1.5115,1727175600,1727157348,1727200807,1727213640,1727187720,0.75,Expect a day of partly cloudy with rain,"{'day': 19.17, 'min': 11.28, 'max': 19.17, 'night': 15.38, 'eve': 16.9, 'morn': 11.28}","{'day': 18.94, 'night': 15.25, 'eve': 16.76, 'morn': 10.97}",1013,69,13.14,4.38,221,6.31,"[{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}]",40,1.0,3.0,19.17,11.28,19.17,15.38,16.9,11.28,18.94,15.25,16.76,10.97,500,Rain,légère pluie,10d,48.636
7,48.636,-1.5115,1727262000,1727243833,1727287079,0,1727277240,0.77,"The day will start with partly cloudy through the late morning hours, transitioning to rain","{'day': 15.85, 'min': 12.97, 'max': 17.22, 'night': 17.22, 'eve': 16.15, 'morn': 13.42}","{'day': 15.92, 'night': 17.53, 'eve': 16.33, 'morn': 13.3}",1008,93,14.42,10.33,192,17.84,"[{'id': 501, 'main': 'Rain', 'description': 'pluie modérée', 'icon': '10d'}]",100,1.0,3.0,15.85,12.97,17.22,17.22,16.15,13.42,15.92,17.53,16.33,13.3,501,Rain,pluie modérée,10d,48.636
8,48.6495,-2.026,1726660800,1726638567,1726683299,1726684020,1726639380,0.5,Expect a day of partly cloudy with clear spells,"{'day': 20.32, 'min': 15.03, 'max': 20.92, 'night': 17.4, 'eve': 19.21, 'morn': 15.08}","{'day': 20.42, 'night': 17.44, 'eve': 19.2, 'morn': 14.99}",1022,77,16.16,8.97,38,15.77,"[{'id': 803, 'main': 'Clouds', 'description': 'nuageux', 'icon': '04d'}]",75,0.0,4.31,20.32,15.03,20.92,17.4,19.21,15.08,20.42,17.44,19.2,14.99,803,Clouds,nuageux,04d,48.6495
9,48.6495,-2.026,1726747200,1726725051,1726769571,1726771440,1726731060,0.55,Expect a day of partly cloudy with clear spells,"{'day': 21.09, 'min': 15.59, 'max': 21.85, 'night': 17.98, 'eve': 19.17, 'morn': 15.59}","{'day': 20.82, 'night': 17.79, 'eve': 18.97, 'morn': 15.4}",1018,60,12.45,8.05,48,13.7,"[{'id': 800, 'main': 'Clear', 'description': 'ciel dégagé', 'icon': '01d'}]",1,0.0,3.9,21.09,15.59,21.85,17.98,19.17,15.59,20.82,17.79,18.97,15.4,800,Clear,ciel dégagé,01d,48.6495
