,index,name,temp_day_x,temp_min_x,temp_max_x,feels_like_day_x,feels_like_morn_x,sunrise_x,humidity_x,wind_speed_x,clouds_x,uvi_x,temp_day_y,temp_min_y,temp_max_y,feels_like_day_y,feels_like_morn_y,sunrise_y,humidity_y,wind_speed_y,clouds_y,uvi_y,min_temp_day,min_temp_min,min_temp_max,min_feels_like_day,min_feels_like_morn,min_sunrise,min_humidity,min_wind_speed,min_clouds,min_uvi,sum_pop,latitude,longitude,latitude_rounded
0,0,Collioure,24.72,18.26,25.1,24.4,18.9,1727242707,84,8.62,100,4.96,22.87375,16.34375,23.27,22.7775,16.43875,1726940083.5,59.75,5.2625,76.25,3.74375,20.69,14.45,21.56,21.01,14.07,1726637461,44,3.08,0,2.14,3.21,42.52505,3.083155,42.5251
1,1,Ferrières-sur-Ariège,23.27,13.23,23.74,22.85,13.36,1727243061,93,2.99,100,5.24,20.60875,11.3675,21.23375,20.1125,11.145,1726940432.75,53.125,2.7175000000000002,69.25,4.8775,12.56,8.96,15.12,12.3,8.77,1726637806,35,2.37,5,4.09,4.22,42.9427221,1.6164435,42.9427
2,2,Bormes-les-Mimosas,22.29,17.43,22.29,22.12,18.18,1727241926,90,8.5,100,5.0,20.5475,15.96125,21.03,20.3325,15.962499999999999,1726939296.125,64.125,5.483750000000001,68.125,4.755,17.38,14.19,19.15,17.52,13.85,1726636667,52,2.92,14,4.22,2.94,43.1506968,6.3419285,43.1507
3,3,Carcassonne,24.54,17.59,26.03,24.15,17.96,1727242886,87,10.07,100,4.99,21.87,14.85375,22.96625,21.65375,14.9525,1726940254.75,59.0,6.49875,80.0,4.37125,16.19,12.39,18.63,16.14,11.9,1726637625,42,3.09,2,4.0,3.91,43.2130358,2.3491069,43.213
4,4,Cassis,22.81,19.03,22.81,22.74,18.98,1727242119,82,9.62,100,5.0,20.78875,17.6775,21.169999999999998,20.5875,17.69,1726939488.5,63.75,6.02,70.375,4.755,18.34,16.04,19.41,18.37,16.01,1726636859,56,3.36,1,4.08,4.64,43.2140359,5.5396318,43.214
5,5,Marseille,23.12,20.22,23.12,23.18,20.2,1727242160,79,9.7,100,5.0,21.52625,18.7525,21.94875,21.38375,18.9325,1726939528.625,63.125,6.36625,61.875,4.70625,19.5,16.88,20.77,19.57,16.76,1726636898,55,3.34,1,3.8,4.43,43.2961743,5.3699525,43.2962
6,6,Saintes-Maries-de-la-Mer,23.24,19.22,24.02,23.21,19.82,1727242387,77,10.17,100,4.74,20.84375,17.20625,21.02375,20.7525,17.615,1726939753.75,67.75,6.3237499999999995,66.25,4.095,19.31,15.05,19.31,19.15,15.4,1726637121,56,3.03,2,3.0,4.4,43.4515922,4.4277202,43.4516
7,7,Biarritz,22.9,17.1,24.59,22.94,17.42,1727243825,87,5.23,100,4.87,20.61625,15.61125,21.55625,20.54125,15.557500000000001,1726941191.5,69.25,3.70625,70.0,4.17,18.43,12.69,18.43,18.45,12.29,1726638559,61,2.6,14,3.13,6.1899999999999995,43.4832523,-1.5592776,43.4833
8,8,Bayonne,23.85,16.07,25.71,23.86,16.66,1727243805,87,4.54,100,5.0,21.12125,14.6,22.1225,21.0425,14.585,1726941171.0,67.125,3.22375,73.375,4.64375,18.64,11.64,18.64,18.83,11.21,1726638538,57,2.21,15,3.32,5.92,43.4945144,-1.4736657,43.4945
9,9,Aix-en-Provence,26.15,17.14,26.15,26.15,17.48,1727242143,80,6.37,100,5.0,22.80625,15.82875,23.2325,22.49375,15.75125,1726939508.25,50.25,4.095,78.125,4.7212499999999995,18.83,13.86,19.12,18.86,13.49,1726636875,37,2.21,5,4.15,4.04,43.5298424,5.4474738,43.5298
